"","Team","Team.Score","Opponent.Score","Team.Score.Mean","Opponent.Score.Mean","Team.Score.Var","Opponent.Score.Var","Loss","Win","WinRatio","Matches"
"262","Hillsdale Bap",277,511,55.4,102.2,11.3,136.7,5,0,0,5
"263","Hiwassee",407,631,58.1428571428571,90.1428571428571,73.1428571428571,129.142857142857,7,0,0,7
"264","Hofstra",6589,6628,68.6354166666667,69.0416666666667,181.434100877193,190.419298245614,60,36,0.375,96
"265","Holy Cross",5958,6032,64.7608695652174,65.5652173913043,154.711419015767,152.270425226947,47,45,0.489130434782609,92
"266","Holy Names",96,137,48,68.5,72,264.5,2,0,0,2
"267","Hood",51,78,51,78,0,0,1,0,0,1
"268","Hope Intl",74,86,74,86,0,0,1,0,0,1
"269","Houghton",51,80,51,80,0,0,1,0,0,1
"270","Houston",6580,6560,70.752688172043,70.5376344086021,156.340345956054,136.990416082281,46,47,0.505376344086022,93
"271","Houston Bap",5627,6132,66.9880952380952,73,177.361302352266,181.807228915663,57,27,0.321428571428571,84
"272","Howard",5478,6025,58.9032258064516,64.7849462365591,165.39270687237,148.192379616643,63,30,0.32258064516129,93
"273","Howard Payne",200,370,50,92.5,108.666666666667,348.333333333333,4,0,0,4
"274","Huston-Tillot",633,892,63.3,89.2,93.3444444444444,47.2888888888889,10,0,0,10
"275","Idaho",6672,6772,72.5217391304348,73.6086956521739,101.175346392738,96.6803631151457,52,40,0.434782608695652,92
"276","Idaho St",5631,5987,63.9886363636364,68.0340909090909,165.988375130617,110.148249738767,65,23,0.261363636363636,88
"277","IL Chicago",6133,6532,64.5578947368421,68.7578947368421,113.547144456887,153.547144456887,63,32,0.336842105263158,95
"278","Illinois",6506,6115,67.7708333333333,63.6979166666667,164.262719298246,106.949890350877,38,58,0.604166666666667,96
"279","Illinois St",6738,6344,70.9263157894737,66.7789473684211,126.707278835386,152.365509518477,41,54,0.568421052631579,95
"280","IL Springfield",57,88,57,88,0,0,1,0,0,1
"281","Immaculata",54,79,54,79,0,0,1,0,0,1
"282","Incarnate Word",4446,4032,80.8363636363636,73.3090909090909,163.176430976431,182.032323232323,16,39,0.709090909090909,55
"283","Indiana",7373,6448,76.8020833333333,67.1666666666667,187.970942982456,123.824561403509,33,63,0.65625,96
"284","Indiana NW",104,190,52,95,2,98,2,0,0,2
"285","Indiana St",6348,6263,68.258064516129,67.3440860215054,96.7805049088359,110.619448340346,39,54,0.580645161290323,93
"286","Indiana Tech",50,93,50,93,0,0,1,0,0,1
"287","IN S Bend",55,91,55,91,0,0,1,0,0,1
"288","Iona",7814,7232,81.3958333333333,75.3333333333333,133.483771929825,117.00350877193,31,65,0.677083333333333,96
"289","Iowa",7038,6180,74.0842105263158,65.0526315789474,135.205599104143,171.497200447928,34,61,0.642105263157895,95
"290","Iowa St",7803,6921,80.4432989690722,71.3505154639175,102.624355670103,170.938359106529,25,72,0.742268041237113,97
"291","Iowa Wesleyan",204,370,51,92.5,162,73,4,0,0,4
"292","IPFW",6577,6313,70.7204301075269,67.8817204301075,201.573165030388,118.974988312295,40,53,0.56989247311828,93
"293","IU Kokomo",163,283,54.3333333333333,94.3333333333333,176.333333333333,34.3333333333333,3,0,0,3
"294","IUPUI",5904,6735,64.1739130434783,73.2065217391304,158.628762541806,147.967869087434,72,20,0.217391304347826,92
"295","Jackson St",5761,6089,64.0111111111111,67.6555555555556,125.674032459426,170.003620474407,58,32,0.355555555555556,90
"296","Jacksonville",6241,6798,68.5824175824176,74.7032967032967,168.290354090354,138.855433455433,57,34,0.373626373626374,91
"297","Jacksonville St",5638,5992,64.0681818181818,68.0909090909091,115.144723092999,116.221525600836,51,37,0.420454545454545,88
"298","James Madison",6122,6318,65.1276595744681,67.2127659574468,113.983527796843,145.438114847861,47,47,0.5,94
"299","Jarvis Chr",238,361,59.5,90.25,97.6666666666667,32.9166666666667,4,0,0,4
"300","Johnson Bib",51,130,51,130,0,0,1,0,0,1
"301","Johnson FL",41,97,41,97,0,0,1,0,0,1
"302","Johnson TN",89,205,44.5,102.5,12.5,924.5,2,0,0,2
"303","Judson IL",190,360,47.5,90,57,235.333333333333,4,0,0,4
"304","J&W NC",456,840,50.6666666666667,93.3333333333333,89.75,179.75,9,0,0,9
"305","J&W RI",65,75,65,75,0,0,1,0,0,1
"306","Kalamazoo",74,110,74,110,0,0,1,0,0,1
"307","Kansas",7362,6424,75.1224489795918,65.5510204081633,143.984851672628,130.043761834631,22,76,0.775510204081633,98
"308","Kansas St",6325,5995,67.2872340425532,63.7765957446809,116.443491191947,119.917295813315,35,59,0.627659574468085,94
"309","Kean",54,84,54,84,0,0,1,0,0,1
"310","Kennesaw",5874,6817,63.1612903225806,73.3010752688172,159.028050490884,124.451846657317,74,19,0.204301075268817,93
"311","Kent",6545,6283,68.8947368421053,66.1368421052632,107.776035834267,111.949160134379,39,56,0.589473684210526,95
"312","Kentucky",7419,6105,74.9393939393939,61.6666666666667,149.751391465677,163.204081632653,20,79,0.797979797979798,99
"313","Kentucky Chr",84,236,42,118,98,18,2,0,0,2
"314","Kentucky St",73,76,73,76,0,0,1,0,0,1
"315","Keystone",69,102,69,102,0,0,1,0,0,1
"316","King TN",76,90,76,90,0,0,1,0,0,1
"317","Lafayette",6793,6851,71.5052631578947,72.1157894736842,130.954759238522,160.592833146697,46,49,0.515789473684211,95
"318","LaGrange",69,102,69,102,0,0,1,0,0,1
"319","Lamar",6009,6848,66.032967032967,75.2527472527473,190.054456654457,141.102075702076,69,22,0.241758241758242,91
"320","Langston",145,170,72.5,85,112.5,98,2,0,0,2
"321","La Roche",42,89,42,89,0,0,1,0,0,1
"322","La Salle",6301,6085,67.752688172043,65.4301075268817,132.927302477793,95.0086489013558,40,53,0.56989247311828,93
"323","La Sierra",223,294,74.3333333333333,98,137.333333333333,3,3,0,0,3
"324","La Verne",113,179,56.5,89.5,840.5,12.5,2,0,0,2
"325","Lee-McRae",141,176,70.5,88,112.5,18,2,0,0,2
"326","Lehigh",6282,6116,69.032967032967,67.2087912087912,162.654456654457,107.011477411477,41,50,0.549450549450549,91
"327","LeMoyne-Owen",78,101,78,101,0,0,1,0,0,1
"328","Lesley",47,85,47,85,0,0,1,0,0,1
"329","Le Tourneau",76,92,76,92,0,0,1,0,0,1
"330","Lewis & Clark",49,71,49,71,0,0,1,0,0,1
"331","Lewis-Clark ID",81,87,81,87,0,0,1,0,0,1
"332","Liberty",6238,6523,67.0752688172043,70.1397849462366,132.331229546517,130.925899953249,65,28,0.301075268817204,93
"333","Limestone",135,169,67.5,84.5,4.5,84.5,2,0,0,2
"334","Lipscomb",6514,6922,72.3777777777778,76.9111111111111,154.597253433208,114.868414481898,50,40,0.444444444444444,90
"335","Long Beach St",6357,6461,68.3548387096774,69.4731182795699,148.774894810659,164.643291257597,46,47,0.505376344086022,93
"336","Long Island",6633,6901,72.8901098901099,75.8351648351648,120.010012210012,129.561416361416,51,40,0.43956043956044,91
"337","Longwood",6469,7337,68.0947368421053,77.2315789473684,161.724972004479,198.179843225084,71,24,0.252631578947368,95
"338","Louisiana Col",469,661,67,94.4285714285714,99.6666666666667,125.619047619048,7,0,0,7
"339","Louisiana Tech",7317,6258,75.4329896907217,64.5154639175258,170.081400343643,157.564862542955,20,77,0.793814432989691,97
"340","Louisville",7287,5776,75.1237113402062,59.5463917525773,180.276202749141,155.167096219931,18,79,0.814432989690722,97
"341","Loy Marymount",6056,6624,66.5494505494506,72.7912087912088,146.828083028083,85.1003663003663,63,28,0.307692307692308,91
"342","Loyola-Chicago",6021,6022,64.0531914893617,64.063829787234,128.22294669412,117.630290551361,51,43,0.457446808510638,94
"343","Loyola MD",5809,6117,63.8351648351648,67.2197802197802,153.339194139194,147.35115995116,48,43,0.472527472527473,91
"344","Loyola NO",171,260,57,86.6666666666667,49,6.33333333333333,3,0,0,3
"345","LSU",6828,6442,73.4193548387097,69.2688172043011,99.2244039270687,131.95956054231,34,59,0.634408602150538,93
"346","LSU-Alexandria",358,403,71.6,80.6,30.8,32.8,5,0,0,5
"347","Lyndon St",151,282,50.3333333333333,94,94.3333333333333,108,3,0,0,3
"348","Lyon",207,249,51.75,62.25,110.25,96.9166666666667,3,1,0.25,4
"349","Maine",5794,6697,65.8409090909091,76.1022727272727,142.273249738767,144.345741901776,69,19,0.215909090909091,88
"350","Malone",52,62,52,62,0,0,1,0,0,1
"351","MA Lowell",3498,3866,61.3684210526316,67.8245614035088,147.236842105263,137.897243107769,35,22,0.385964912280702,57
"352","Manchester",173,358,43.25,89.5,62.9166666666667,175,4,0,0,4
"353","Manhattan",6405,6162,68.8709677419355,66.258064516129,143.678821879383,122.780504908836,37,56,0.602150537634409,93
"354","Marist",6057,6455,65.1290322580645,69.4086021505376,188.4396914446,167.461664329126,64,29,0.311827956989247,93
"355","Marquette",6467,6216,68.7978723404255,66.1276595744681,182.65762983299,154.28460306566,41,53,0.563829787234043,94
"356","Marshall",6674,6950,69.5208333333333,72.3958333333333,197.76798245614,165.631140350877,61,35,0.364583333333333,96
"357","Mars Hill",266,369,66.5,92.25,508.333333333333,10.9166666666667,3,1,0.25,4
"358","Martin Meth",131,166,65.5,83,24.5,32,2,0,0,2
"359","Marygrove",96,210,48,105,32,968,2,0,0,2
"360","Maryland",6751,6221,70.3229166666667,64.8020833333333,111.378837719298,121.423574561404,32,64,0.666666666666667,96
"361","Massachusetts",6787,6597,72.9784946236559,70.9354838709677,106.912575970079,118.517531556802,33,60,0.645161290322581,93
"362","Mayville St",84,172,42,86,18,200,2,0,0,2
"363","McKendree",68,78,68,78,0,0,1,0,0,1
"364","McMurry",129,154,64.5,77,144.5,72,1,1,0.5,2
"365","McNeese St",5955,6433,67.6704545454545,73.1022727272727,170.683254963427,135.587121212121,52,36,0.409090909090909,88
"366","MD Baltimore Co",1759,2017,62.8214285714286,72.0357142857143,106.448412698413,115.739417989418,22,6,0.214285714285714,28
"367","MD E Shore",5652,6279,63.5056179775281,70.5505617977528,151.139172625128,184.20480081716,63,26,0.292134831460674,89
"368","ME Ft Kent",100,173,50,86.5,50,12.5,2,0,0,2
"369","Memphis",6960,6266,73.2631578947368,65.9578947368421,152.238521836506,133.040761478163,27,68,0.715789473684211,95
"370","Menlo",108,156,54,78,722,72,2,0,0,2
"371","Mercer",6978,6228,70.4848484848485,62.9090909090909,198.701298701299,167.471243042672,34,65,0.656565656565657,99
"372","Merchant Marine",54,89,54,89,0,0,1,0,0,1
"373","Mesa St",60,84,60,84,0,0,1,0,0,1
"374","Metro St",308,285,77,71.25,112,20.9166666666667,1,3,0.75,4
"375","Miami FL",6356,5843,66.2083333333333,60.8645833333333,142.777192982456,118.855153508772,34,62,0.645833333333333,96
"376","Miami OH",5906,6337,64.9010989010989,69.6373626373626,100.712332112332,143.478144078144,58,33,0.362637362637363,91
"377","Michigan",6764,6085,71.2,64.0526315789474,147.629787234043,110.284434490482,30,65,0.684210526315789,95
"378","Michigan St",7069,6160,72.1326530612245,62.8571428571429,129.930675362929,125.670103092784,26,72,0.73469387755102,98
"379","Mid-Atlantic Chr",62,133,62,133,0,0,1,0,0,1
"380","Mid-Continent",124,216,62,108,8,2,2,0,0,2
"381","Middle Tenn St",4552,3847,71.125,60.109375,183.793650793651,100.257688492063,13,51,0.796875,64
"382","MI Dearborn",118,197,59,98.5,128,112.5,2,0,0,2
"383","Mid Georgia",62,75,62,75,0,0,1,0,0,1
"384","Midwest TX St",61,70,61,70,0,0,1,0,0,1
"385","Miles",71,88,71,88,0,0,1,0,0,1
"386","Milligan",269,401,67.25,100.25,100.916666666667,220.25,4,0,0,4
"387","Millsaps",45,81,45,81,0,0,1,0,0,1
"388","Minnesota",6941,6394,71.5567010309278,65.9175257731959,178.936855670103,158.972293814433,39,58,0.597938144329897,97
"389","Mississippi",7260,6670,75.625,69.4791666666667,120.384210526316,163.704824561404,34,62,0.645833333333333,96
"390","Mississippi Col",110,162,55,81,72,72,2,0,0,2
"391","Mississippi St",6028,6481,63.4526315789474,68.2210526315789,153.441881298992,149.4718924972,59,36,0.378947368421053,95
"392","Missouri",6732,6536,70.125,68.0833333333333,189.015789473684,123.108771929825,43,53,0.552083333333333,96
"393","Missouri KC",6042,6616,64.9677419354839,71.1397849462366,165.140252454418,171.273726040206,62,31,0.333333333333333,93
"394","Missouri S&T",151,186,75.5,93,4.5,18,2,0,0,2
"395","Missouri St",5724,6078,62.2173913043478,66.0652173913043,161.622551361682,139.138557095079,53,39,0.423913043478261,92
"396","Missouri Val",76,87,76,87,0,0,1,0,0,1
"397","MIT",89,152,44.5,76,112.5,18,2,0,0,2
"398","Mitchell",68,104,68,104,0,0,1,0,0,1
"399","MN Crookston",117,139,58.5,69.5,40.5,60.5,2,0,0,2
"400","MN Duluth",109,170,54.5,85,12.5,98,2,0,0,2
"401","MN Morris",69,110,69,110,0,0,1,0,0,1
"402","Mobile",58,88,58,88,0,0,1,0,0,1
"403","Monmouth NJ",6351,6700,66.15625,69.7916666666667,121.459539473684,154.861403508772,57,39,0.40625,96
"404","Montana",6313,5992,70.9325842696629,67.3258426966292,93.7454034729316,143.131256384065,31,58,0.651685393258427,89
"405","Montana St",5909,6305,67.1477272727273,71.6477272727273,162.885971786834,135.219305120167,56,32,0.363636363636364,88
"406","Montreat And",451,762,56.375,95.25,80.2678571428571,143.357142857143,8,0,0,8
"407","Morehead St",6989,6698,72.8020833333333,69.7708333333333,226.981469298246,169.504824561403,47,49,0.510416666666667,96
"408","Morehouse",54,67,54,67,0,0,1,0,0,1
"409","Morgan St",6014,6291,66.8222222222222,69.9,124.080399500624,143.66404494382,54,36,0.4,90
"410","Morrisville St",52,88,52,88,0,0,1,0,0,1
"411","MS Valley St",6101,7215,66.3152173913043,78.4239130434783,154.98745819398,178.576564739608,72,20,0.217391304347826,92
"412","MT-Great Falls",61,80,61,80,0,0,1,0,0,1
"413","Mt Ida",102,175,51,87.5,72,420.5,2,0,0,2
"414","Mt Olive",75,77,75,77,0,0,1,0,0,1
"415","MT St-Billings",75,82,75,82,0,0,1,0,0,1
"416","Mt St Joseph",49,82,49,82,0,0,1,0,0,1
"417","Mt St Mary's",6496,6638,69.8494623655914,71.3763440860215,172.303179055633,158.802477793361,44,49,0.526881720430108,93
"418","Mt St Vincent",126,173,63,86.5,162,24.5,2,0,0,2
"419","MTSU",2229,2179,63.6857142857143,62.2571428571429,131.515966386555,116.843697478992,16,19,0.542857142857143,35
"420","MT Tech",44,86,44,86,0,0,1,0,0,1
"421","Mt Vernon Naz",40,86,40,86,0,0,1,0,0,1
"422","MT Western",140,177,70,88.5,32,12.5,2,0,0,2
"423","Murray St",6722,6014,76.3863636363636,68.3409090909091,156.699582027168,216.319226750261,25,63,0.715909090909091,88
"424","Navy",5406,5856,58.7608695652174,63.6521739130435,145.436693741042,104.602962255136,63,29,0.315217391304348,92
"425","NC A&T",5807,6314,61.7765957446809,67.1702127659574,141.444177533745,157.927705330588,62,32,0.340425531914894,94
"426","NC Central",6382,5265,69.3695652173913,57.2282608695652,226.147634973722,131.980291447683,20,72,0.782608695652174,92
"427","N Colorado",6377,6281,72.4659090909091,71.375,144.412617554859,125.754310344828,45,43,0.488636363636364,88
"428","NC State",7140,6703,72.8571428571429,68.3979591836735,143.628865979381,121.334841152956,35,63,0.642857142857143,98
"429","NC Wesleyan",240,343,60,85.75,198,360.916666666667,4,0,0,4
"430","N Dakota St",6287,5572,69.0879120879121,61.2307692307692,140.614407814408,162.157264957265,23,68,0.747252747252747,91
"431","Nebraska",5798,5936,62.3440860215054,63.8279569892473,137.641187470781,107.861383824217,47,46,0.494623655913978,93
"432","NE Omaha",6686,6881,75.9772727272727,78.1931818181818,168.413270637409,136.502481713689,50,38,0.431818181818182,88
"433","Nevada",6117,6495,66.4891304347826,70.5978260869565,134.098781653129,119.517797419971,57,35,0.380434782608696,92
"434","Newberry",170,211,85,105.5,200,180.5,2,0,0,2
"435","Newbury",51,97,51,97,0,0,1,0,0,1
"436","New Hampshire",5418,5541,61.5681818181818,62.9659090909091,143.098746081505,95.7114681295716,55,33,0.375,88
"437","Newman",57,105,57,105,0,0,1,0,0,1
"438","New Mexico",6495,5958,68.3684210526316,62.7157894736842,149.958566629339,116.248152295633,27,68,0.715789473684211,95
"439","New Mexico St",7004,6205,71.469387755102,63.3163265306122,138.231011992426,143.579318325268,29,69,0.704081632653061,98
"440","New Orleans",5331,5864,69.2337662337662,76.1558441558442,162.576213260424,176.001708817498,51,26,0.337662337662338,77
"441","Niagara",6633,7015,71.3225806451613,75.4301075268817,144.155680224404,170.356474988312,60,33,0.354838709677419,93
"442","Nicholls St",5832,6356,67.0344827586207,73.0574712643678,151.545308740978,115.054798182304,54,33,0.379310344827586,87
"443","Nichols",70,101,70,101,0,0,1,0,0,1
"444","N Illinois",5466,5787,60.7333333333333,64.3,162.759550561798,111.24606741573,57,33,0.366666666666667,90
"445","NJIT",5802,5605,70.7560975609756,68.3536585365854,182.186690755796,135.293134598013,39,43,0.524390243902439,82
"446","N Kentucky",5675,5864,65.9883720930233,68.1860465116279,169.611627906977,133.329685362517,53,33,0.383720930232558,86
"447","NM Highlands",67,75,67,75,0,0,1,0,0,1
"448","N Michigan",49,71,49,71,0,0,1,0,0,1
"449","N New Mexico",239,404,47.8,80.8,36.7,83.7,5,0,0,5
"450","Norfolk St",6748,6538,69.5670103092783,67.4020618556701,171.248067010309,151.701245704467,37,60,0.618556701030928,97
"451","North Alabama",61,82,61,82,0,0,1,0,0,1
"452","North Carolina",7444,6660,76.7422680412371,68.659793814433,149.776632302405,127.435137457045,29,68,0.701030927835051,97
"453","North Dakota",6335,6602,69.6153846153846,72.5494505494506,131.528205128205,154.405860805861,53,38,0.417582417582418,91
"454","Northeastern",6545,6464,68.1770833333333,67.3333333333333,102.715679824561,116.877192982456,43,53,0.552083333333333,96
"455","Northern Arizona",6472,6724,67.4166666666667,70.0416666666667,101.00350877193,164.040350877193,51,45,0.46875,96
"456","Northern Iowa",6359,5794,67.6489361702128,61.6382978723404,137.499084877602,177.566689544727,31,63,0.670212765957447,94
"457","North Florida",6871,6778,71.5729166666667,70.6041666666667,181.278837719298,127.989035087719,45,51,0.53125,96
"458","North Greenville",184,255,61.3333333333333,85,72.3333333333333,67,3,0,0,3
"459","Northland",59,83,59,83,0,0,1,0,0,1
"460","North Park",50,113,50,113,0,0,1,0,0,1
"461","North Texas",6162,6426,66.9782608695652,69.8478260869565,90.7247969421882,139.602962255136,51,41,0.445652173913043,92
"462","Northwest Chr",67,81,67,81,0,0,1,0,0,1
"463","Northwestern",5879,6121,61.2395833333333,63.7604166666667,146.415679824561,148.541995614035,54,42,0.4375,96
"464","Northwestern LA",7276,6989,83.632183908046,80.3333333333333,170.281742849505,180.434108527132,34,53,0.609195402298851,87
"465","Northwestern OH",55,102,55,102,0,0,1,0,0,1
"466","Northwest WA",58,84,58,84,0,0,1,0,0,1
"467","Northwood TX",289,335,72.25,83.75,254.916666666667,289.583333333333,4,0,0,4
"468","Notre Dame",7176,6441,73.979381443299,66.4020618556701,164.353737113402,124.805412371134,30,67,0.690721649484536,97
"469","Notre Dame CA",103,181,51.5,90.5,60.5,40.5,2,0,0,2
"470","Notre Dame OH",72,97,72,97,0,0,1,0,0,1
"471","Nova SE",128,122,64,61,338,8,1,1,0.5,2
"472","NW Nazarene",172,238,57.3333333333333,79.3333333333333,42.3333333333333,122.333333333333,3,0,0,3
"473","NW Oklahoma St",45,91,45,91,0,0,1,0,0,1
"474","NYIT",77,94,77,94,0,0,1,0,0,1
"475","Oakland",6915,7095,73.563829787234,75.4787234042553,136.829215282544,115.026424159231,51,43,0.457446808510638,94
"476","Oakland City",257,342,64.25,85.5,133.583333333333,57,4,0,0,4
"477","Oakwood",119,151,59.5,75.5,4.5,60.5,2,0,0,2
"478","Oberlin",108,148,54,74,2,18,2,0,0,2
"479","OH Dominican",64,76,64,76,0,0,1,0,0,1
"480","Ohio",6752,6441,71.0736842105263,67.8,114.749832026876,148.714893617021,39,56,0.589473684210526,95
"481","Ohio Mid-Western",48,98,48,98,0,0,1,0,0,1
"482","Ohio Northern",48,84,48,84,0,0,1,0,0,1
"483","Ohio St",6980,5852,71.9587628865979,60.3298969072165,147.644115120275,111.244201030928,26,71,0.731958762886598,97
"484","Ohio Valley",193,255,64.3333333333333,85,170.333333333333,97,3,0,0,3
"485","Oklahoma",7070,6415,75.2127659574468,68.2446808510638,138.513383665065,161.326584305651,29,65,0.691489361702128,94
"486","Oklahoma St",6923,6083,73.6489361702128,64.7127659574468,141.456074124914,155.927362159689,32,62,0.659574468085106,94
"487","Old Dominion",6066,6013,64.531914893617,63.968085106383,101.714024250744,130.590368336765,49,45,0.478723404255319,94
"488","Old Westbury",49,83,49,83,0,0,1,0,0,1
"489","Olivet Naz",120,143,60,71.5,0,40.5,2,0,0,2
"490","Open Bible",205,380,51.25,95,50.9166666666667,30,4,0,0,4
"491","Oral Roberts",6670,6478,70.2105263157895,68.1894736842105,137.870100783875,107.240313549832,43,52,0.547368421052632,95
"492","Oregon",7405,6745,76.340206185567,69.5360824742268,178.455970790378,181.772121993127,26,71,0.731958762886598,97
"493","Oregon St",6456,6332,69.4193548387097,68.0860215053764,153.159186535764,141.992519869098,46,47,0.505376344086022,93
"494","Ouachita",60,84,60,84,0,0,1,0,0,1
"495","Our Lady Lake",221,260,73.6666666666667,86.6666666666667,196.333333333333,182.333333333333,3,0,0,3
"496","Pace",54,94,54,94,0,0,1,0,0,1
"497","Pacific",6121,6257,68.0111111111111,69.5222222222222,118.438077403246,106.252309612984,46,44,0.488888888888889,90
"498","Pacifica",179,281,59.6666666666667,93.6666666666667,169.333333333333,202.333333333333,3,0,0,3
"499","Pacific OR",58,87,58,87,0,0,1,0,0,1
"500","Pacific Union",56,81,56,81,0,0,1,0,0,1
"501","Pac Lutheran",114,217,38,72.3333333333333,25,42.3333333333333,3,0,0,3
"502","Paine",75,80,75,80,0,0,1,0,0,1
"503","Palm Beach Atl",85,96,85,96,0,0,1,0,0,1
"504","Peace",71,88,71,88,0,0,1,0,0,1
"505","Penn",5487,6023,63.8023255813954,70.0348837209302,121.148700410397,104.881121751026,60,26,0.302325581395349,86
"506","Penn St",6405,6551,66.71875,68.2395833333333,141.088486842105,142.773574561404,53,43,0.447916666666667,96
"507","Pensacola Chr",61,88,61,88,0,0,1,0,0,1
"508","Pepperdine",5945,6057,66.0555555555556,67.3,99.2440699126092,137.62808988764,46,44,0.488888888888889,90
"509","Permian Basin",82,77,82,77,0,0,0,1,1,1
"510","Peru St",102,166,51,83,242,18,2,0,0,2
"511","Pfeiffer",102,163,51,81.5,128,0.5,2,0,0,2
"512","Philadelphia",50,67,50,67,0,0,1,0,0,1
"513","Piedmont",120,170,60,85,288,18,2,0,0,2
"514","Piedmont Bap",62,159,31,79.5,8,24.5,2,0,0,2
"515","Pittsburgh",6857,6002,69.969387755102,61.2448979591837,130.648537765622,130.475489164738,30,68,0.693877551020408,98
"516","Portland",6300,6398,68.4782608695652,69.5434782608696,166.010511227903,131.723363592929,51,41,0.445652173913043,92
"517","Portland St",6105,6227,70.9883720930233,72.4069767441861,136.388098495212,96.2441860465116,48,38,0.441860465116279,86
